Chemical,PubChem CID,IUPAC Name,SMILES,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,NumRadicalElectrons,NumValenceElectrons,Asphericity,ExactMolWt,FractionCSP3,MolFormula,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHBA,NumHBD,NumHeavyAtoms,NumRotatableBonds,NumAmideBonds,NumAtomStereoCenters,NumBridgeheadAtoms,NumUnspecifiedAtomStereoCenters,RadiusOfGyration
Δ9-THC,16078,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol",CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1.565217391304350,2.5217391304347800,3.3043478260869600,0.5074970062918120,0.2931120354078330,0.2931120354078330,-0.5074970062918120,0,126,0.4188085322297700,314.22458020000100,0.6190476190476190,C21H30O2,3,1,2,0,2,1,23,9,0,0,0,0,4.014043751864130
Δ8-THC,644019,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol",CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,1.565217391304350,2.4347826086956500,3.0869565217391300,0.507496958287349,0.2931120361696160,0.2931120361696160,-0.507496958287349,0,126,0.4617118261983240,314.22458020000100,0.5238095238095240,C21H30O2,2,1,1,0,2,2,23,11,0,0,0,0,3.971703489834130
THCA,644017,"methyl (1S,2S,3R,5R)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate",CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,1.4090909090909100,2.227272727272730,2.9545454545454500,0.4686455560793510,0.33792158843250000,0.33792158843250000,-0.4686455560793510,0,118,0.36105879961786200,303.14705815200100,0.5294117647058820,C17H21NO4,3,1,2,2,5,0,22,5,0,0,2,0,3.636849586322870
THCV,644011,"methyl (1R,2R,3S,5S)-8-methyl-3-[methylsulfanyl(phenyl)phosphoryl]oxy-8-azabicyclo[3.2.1]octane-2-carboxylate",CN1C2CCC1C(C(C2)OP(=O)(C3=CC=CC=C3)SC)C(=O)OC,1.5,2.3333333333333300,3.0416666666666700,0.46867652471382300,0.3124268332932670,0.3124268332932670,-0.46867652471382300,0,132,0.15673625005781200,369.11636587800100,0.5882352941176470,C17H24NO4PS,3,1,2,2,6,0,24,8,0,0,2,0,3.410667751143760
CBD,6440190,(E)-4-[(dimethylamino)methyl]-1-phenylnon-1-en-3-one;hydrochloride,CCCCCC(CN(C)C)C(=O)C=CC1=CC=CC=C1.Cl,1.5238095238095200,2.2857142857142900,2.9523809523809500,0.3086700813366980,0.15955738631881800,0.15955738631881800,-0.3086700813366980,0,118,0.2842474527595370,309.1859421960010,0.5,C18H28ClNO,1,1,0,0,2,0,21,12,0,0,0,0,3.781497677493550
CBDA,644001,"3,4,10,11-tetramethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium",COC1=C(C2=C(C=C1)C3=CC4=CC(=C(C=C4C=[N+]3CC2)OC)OC)OC,0.9230769230769230,1.6538461538461500,2.423076923076920,0.4928580497096170,0.21305317542470200,0.21305317542470200,-0.4928580497096170,0,134,0.6431910699893490,352.15433460409100,0.2857142857142860,C21H22NO4+,4,3,1,0,4,0,26,8,0,0,0,0,4.51379537729455
CBDV,92012705,unknown,[Li].[Li].[Li].C1=CC(=C(C=C1C(=O)O)C(=O)O)O,1.125,1.75,2.25,0.5070520558615220,0.33899597988073500,0.33899597988073500,-0.5070520558615220,3,71,0.39736626882384400,203.069536942,0.0,C8H6Li3O5,1,1,0,0,5,3,16,3,0,0,0,0,2.5673743137929800
CBG,5281963,"[(2R,3R,4S,5R,6S)-3,4,5-triacetyloxy-6-[[(1S,2R,4S,5S,6S,10S)-5-acetyloxy-7-methyl-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-10-yl]oxy]oxan-2-yl]methyl acetate",CC1=COC(C2C1C(C3C2O3)OC(=O)C)OC4C(C(C(C(O4)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,0.8205128205128210,1.435897435897440,2.076923076923080,0.47205942398112700,0.3027285126187390,0.3027285126187390,-0.47205942398112700,0,216,0.39752327644174300,556.1792057040010,0.72,C25H32O14,4,0,4,3,14,0,39,14,0,0,0,0,4.940334143815700
CBGA,5281962,"[(1S,12S,14S,15E)-15-ethylidene-3,17-diazapentacyclo[12.3.1.02,10.04,9.012,17]octadeca-2(10),4,6,8-tetraen-13-yl]methanol",CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)CO,1.7727272727272700,2.727272727272730,3.6363636363636400,0.39600256441355200,0.21005273156278700,0.21005273156278700,-0.39600256441355200,0,114,0.43010190246101500,294.1732133240010,0.47368421052631600,C19H22N2O,6,2,4,3,2,2,22,3,0,0,4,0,3.490184956022040
CBC,5281965,"methyl (Z)-2-[(2R,3R,12bS)-3-ethenyl-2,3,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizin-5-ium-2-yl]-3-hydroxyprop-2-enoate",COC(=O)C(=CO)C1CC2C3=C(CC[N+]2=CC1C=C)C4=CC=CC=C4N3,1.7692307692307700,2.6923076923076900,3.5384615384615400,0.5150216898399400,0.3366648188782830,0.3366648188782830,-0.5150216898399400,0,134,0.47013326423175900,351.1703190160910,0.3333333333333330,C21H23N2O3+,4,2,2,0,3,2,26,5,0,0,0,0,4.050948928966350
CBN,65156,"(3aR,4aS,7S,8aR,9aR)-7-hydroxy-8a-methyl-3,5-dimethylidene-3a,4,4a,6,7,8,9,9a-octahydrobenzo[f][1]benzofuran-2-one",CC12CC(CC(=C)C1CC3C(C2)OC(=O)C3=C)O,1.7222222222222200,2.6666666666666700,3.388888888888890,0.4583455939306370,0.3336215267759140,0.3336215267759140,-0.4583455939306370,0,98,0.4751760685171850,248.1412445,0.6666666666666670,C15H20O3,3,0,3,3,3,1,18,2,0,0,0,0,3.184832365111290
CBL,5281447,"[(3aR,4R,6R,6aR,7R,9aS,9bS)-7-acetyloxy-6-(chloromethyl)-6,9a-dihydroxy-9-methyl-3-methylidene-2-oxo-3a,4,5,6a,7,9b-hexahydroazuleno[4,5-b]furan-4-yl] (Z)-2-methylbut-2-enoate",CC=C(C)C(=O)OC1CC(C2C(C=C(C2(C3C1C(=C)C(=O)O3)O)C)OC(=O)C)(CCl)O,1.6451612903225800,2.5161290322580600,3.129032258064520,0.4581052878885130,0.33389137428095400,0.33389137428095400,-0.4581052878885130,0,170,0.15681686117668600,454.1394455040010,0.5909090909090910,C22H27ClO8,3,0,3,2,8,2,31,10,0,0,0,0,3.89230064008823
"WIN55,212-2",5311105,"(3E)-5-(3,4-dihydroxyphenyl)-3-[(3,4-dihydroxyphenyl)methylidene]furan-2-one",C1=CC(=C(C=C1C=C2C=C(OC2=O)C3=CC(=C(C=C3)O)O)O)O,1.0,1.6956521739130400,2.4347826086956500,0.5042596318871760,0.34320540409519600,0.34320540409519600,-0.5042596318871760,0,116,0.7931989014534960,312.0633881040000,0.0,C17H12O6,3,2,1,0,6,4,23,6,0,0,0,0,4.652261915522490
"WIN55,212-3",5311106,"3-[(2,5-dihydroxyphenyl)methylamino]benzoic acid",C1=CC(=CC(=C1)NCC2=C(C=CC(=C2)O)O)C(=O)O,1.368421052631580,2.3157894736842100,3.1052631578947400,0.5079503987732240,0.3352565202438740,0.3352565202438740,-0.5079503987732240,0,98,0.6044326760241080,259.0844578960000,0.07142857142857140,C14H13NO4,2,2,0,0,5,4,19,6,0,0,0,0,3.991360463638920
"CP55,940",443912,"3-[[(2R,3S,4S,5R,6S)-6-[3-[(2S,3R,4S,5S,6R)-6-[3-(3,4-dihydroxyphenyl)prop-2-enoyloxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(4-hydroxyphenyl)-7-oxochromen-5-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",C1=CC(=CC=C1C2=C(C=C3C(=CC(=O)C=C3OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O2)OC5C(C(C(C(O5)COC(=O)C=CC6=CC(=C(C=C6)O)O)O)O)O)O,0.7666666666666670,1.4333333333333300,2.066666666666670,0.507966213004389,0.33035795356178100,0.33035795356178100,-0.507966213004389,0,320,0.4362874962877070,842.190558236001,0.3333333333333330,C39H38O21,6,2,4,2,21,10,60,22,0,0,0,0,7.163625143142370
HU-210,5311352,"(2S)-2-[[2,6-di(propan-2-yl)phenyl]carbamoylamino]-3-(1H-indol-3-yl)-2-methyl-N-[(1-pyridin-2-ylcyclohexyl)methyl]propanamide",CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)NC(C)(CC2=CNC3=CC=CC=C32)C(=O)NCC4(CCCCC4)C5=CC=CC=N5,1.0909090909090900,1.8181818181818200,2.5454545454545500,0.36088827881678000,0.3196241883564740,0.3196241883564740,-0.36088827881678000,0,232,0.20070991642328500,593.3729757440010,0.43243243243243200,C37H47N5O2,5,4,1,1,3,4,44,15,3,0,0,0,5.257427870150420
HU-211,146660,butyl(2-hydroperoxypropan-2-yl)diazene,CCCCN=NC(C)(C)OO,1.8181818181818200,2.727272727272730,3.3636363636363600,0.25495836542582200,0.25495836542582200,0.24926937511265300,-0.24926937511265300,0,66,0.381236172319003,160.121177752,1.0,C7H16N2O2,0,0,0,0,4,1,11,9,0,0,0,0,2.5426196461236900
JWH-018,588025,1-ethyl-1-prop-2-enoxysilolane,CC[Si]1(CCCC1)OCC=C,2.0,2.8181818181818200,3.4545454545454500,0.4131682304930600,0.19250771870599400,0.19250771870599400,-0.4131682304930600,0,64,0.2921054593359470,170.11269172600000,0.7777777777777780,C9H18OSi,1,0,1,1,1,0,11,5,0,0,0,0,2.6133731293203500
JWH-073,9850028,"disodium;[4-[3-(2,2,2-trifluoroethoxy)spiro[dioxetane-4,13'-tricyclo[7.3.1.02,7]tridec-2(7)-ene]-3-yl]phenyl] phosphate",C1CCC2=C(C1)CC3CCCC2C34C(OO4)(C5=CC=C(C=C5)OP(=O)([O-])[O-])OCC(F)(F)F.[Na+].[Na+],1.1714285714285700,1.8571428571428600,2.4571428571428600,1.0,1.0,0.7802414199721050,-0.7802414199721050,0,182,0.22333689791199400,534.1007129580010,0.6363636363636360,C22H24F3Na2O7P,5,1,4,2,7,0,35,5,0,0,2,0,4.255522057482220
JWH-133,86287562,"methyl 2-[(1R,2S,4S,9R,10S,11R,15R,18R)-6-(furan-3-yl)-7,9,11,15-tetramethyl-12,16-dioxo-3,17-dioxapentacyclo[9.6.1.02,9.04,8.015,18]octadeca-7,13-dien-10-yl]acetate",CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OC(=O)C6(C=CC5=O)C)C)CC(=O)OC)C,1.3823529411764700,2.264705882352940,2.9705882352941200,0.47231502047495000,0.31601315902643100,0.31601315902643100,-0.47231502047495000,0,180,0.2922614219481160,466.1991533000010,0.5925925925925930,C27H30O7,6,1,5,3,7,0,34,8,0,0,0,0,4.190643526697710
AM251,6918495,"1-[2-[(Z)-[(4R,6R,8R,9Z,11E)-16-chloro-17,19-dihydroxy-4-methyl-2-oxo-3,7-dioxatricyclo[13.4.0.06,8]nonadeca-1(15),9,11,16,18-pentaen-13-ylidene]amino]oxyethyl]pyrrolidin-2-one",CC1CC2C(O2)C=CC=CC(=NOCCN3CCCC3=O)CC4=C(C(=CC(=C4Cl)O)O)C(=O)O1,1.4705882352941200,2.3529411764705900,3.1176470588235300,0.506895479683963,0.3420351263012860,0.3420351263012860,-0.506895479683963,0,182,0.15658036120805700,490.1506788840010,0.4583333333333330,C24H27ClN2O7,4,1,3,2,8,2,34,7,1,0,0,0,3.949883242073890
SR141716A,3003824,"1,3-bis(2-phenoxyanilino)thiourea",C1=CC=C(C=C1)OC2=CC=CC=C2NNC(=S)NNC3=CC=CC=C3OC4=CC=CC=C4,0.59375,0.96875,1.40625,0.4551319147426190,0.20356556972681500,0.20356556972681500,-0.4551319147426190,0,160,0.5848445498857300,442.1463469440010,0.0,C25H22N4O2S,4,4,0,0,5,4,32,8,0,0,0,0,5.198801168900100
SR144528,5311135,"(3S)-4-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[1-[(2S)-1-[[(2S)-1-amino-4-methylsulfanyl-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]-2-oxopyrrolidin-3-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-[[(2S)-2,6-diaminohexanoyl]amino]-4-oxobutanoic acid",CC(C)CC(C(=O)NC(CCSC)C(=O)N)N1CCC(C1=O)NC(=O)C(C(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)N,0.953125,1.671875,2.34375,0.4811623082943200,0.30548105919757900,0.30548105919757900,-0.4811623082943200,0,358,0.6755704160171500,920.478973996002,0.6428571428571430,C42H68N10O11S,2,1,1,1,14,11,64,37,8,0,0,0,8.345908253877750
PGE2,5280360,"(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid",CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,1.6,2.52,3.28,0.481230253795681,0.30285111399614300,0.30285111399614300,-0.481230253795681,0,142,0.7499655918373530,352.2249741240010,0.7,C20H32O5,1,0,1,1,5,3,25,15,0,0,0,0,5.094486470245820
PGD2,5280896,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,1.736842105263160,2.5789473684210500,3.1578947368421100,0.47806674558891200,0.3280686341435130,0.3280686341435130,-0.47806674558891200,0,104,0.3383813319655630,264.13615912000000,0.4666666666666670,C15H20O4,1,0,1,0,4,2,19,8,0,0,0,0,3.2374969046511600
PGA2,5280895,"(E)-4-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-methyl-4-oxobut-2-enoic acid",CC(=CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,1.25,2.0535714285714300,2.732142857142860,0.4807077013816810,0.4807077013816810,0.47806486327282000,-0.47806486327282000,0,314,0.8075940744995110,879.131252950001,0.5769230769230770,C26H40N7O19P3S,3,2,1,1,25,10,56,31,2,0,0,0,8.169451652192540
12-HETE,444899,"(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid",CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,0.9545454545454550,1.5,2.0454545454545500,0.4812302537956730,0.30285111400203600,0.30285111400203600,-0.4812302537956730,0,124,0.7361386467669040,304.2402302640010,0.55,C20H32O2,0,0,0,0,2,1,22,15,0,0,0,0,5.798541134163730
15-HETE,5280734,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl phosphono hydrogen phosphate",C1C(=NC2=C(N1)N=C(N=C2O)N)COP(=O)(O)OP(=O)(O)O,1.5454545454545500,2.409090909090910,3.090909090909090,0.49156048978880800,0.4809804319044330,0.4809804319044330,-0.49156048978880800,0,122,0.5774245928262560,355.0082855720000,0.2857142857142860,C7H11N5O8P2,2,1,1,0,13,6,22,10,0,0,0,0,4.004744509163000
5-HPETE,5282820,"(9E,11E,13E)-octadeca-9,11,13-trienoic acid",CCCCC=CC=CC=CCCCCCCCC(=O)O,1.05,1.7,2.4,0.4812303897852170,0.30283955653219400,0.30283955653219400,-0.4812303897852170,0,114,0.22169768233270800,278.2245802000010,0.6111111111111110,C18H30O2,0,0,0,0,2,1,20,14,0,0,0,0,3.7955709505225900
LTB4,5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",CCC=CCC=CCC=CCCCCCCCC(=O)O,1.05,1.7,2.45,0.4812303897852170,0.30283955653219400,0.30283955653219400,-0.4812303897852170,0,114,0.8111439390474460,278.2245802000010,0.6111111111111110,C18H30O2,0,0,0,0,2,1,20,14,0,0,0,0,5.574846048297430
